name;county;province;lat;lon
Grabówno;Pilski;Wielkopolskie;53.13211;17.984
Maryniec;Złotowski;Wielkopolskie;53.22515;16.95937
Wysoka Mała;Pilski;Wielkopolskie;53.15589;17.4452
Stare;Pilski;Wielkopolskie;53.21632;16.99903
Dolnik;Złotowski;Wielkopolskie;53.25846;16.92736
Rudna;Pilski;Wielkopolskie;53.1984795;17.204273
Augustowo;Złotowski;Wielkopolskie;53.25622;16.97971
Głubczyn;Złotowski;Wielkopolskie;53.24275;16.9677
Białośliwie;Pilski;Wielkopolskie;53.999053;17.1228229
Śmiardowo Krajeńskie;Złotowski;Wielkopolskie;53.2472419;17.164367
Wolsko;Pilski;Wielkopolskie;53.983218;17.598102
Grabionna;Pilski;Wielkopolskie;53.11812;17.5653
Dworzakowo;Pilski;Wielkopolskie;53.925948;17.1047517
Okaliniec;Pilski;Wielkopolskie;53.1373129;17.604372
Wysoczka;Pilski;Wielkopolskie;53.16215;17.9936
Tomaszewo;Pilski;Wielkopolskie;53.1513889;17.1247222
Wysoka Wielka;Pilski;Wielkopolskie;53.1729445;17.62104
Pobórka Wielka;Pilski;Wielkopolskie;53.132083;17.977974
Dębówko Nowe;Pilski;Wielkopolskie;53.109776;17.1757601
Pobórka Mała;Pilski;Wielkopolskie;53.1666667;17.1166667
Nieżychowo;Pilski;Wielkopolskie;53.14387;17.15936
Krostkowo;Pilski;Wielkopolskie;53.11203;17.19867
Dębówko Stare;Pilski;Wielkopolskie;53.1333333;17.1666667
Nieżychówko;Pilski;Wielkopolskie;53.1432176;17.145487
Kosztowo;Pilski;Wielkopolskie;53.1608715;17.1941861
Jeziorki Kosztowskie;Pilski;Wielkopolskie;53.17082;17.14837
Dobrzyniewo;Pilski;Wielkopolskie;53.1733817;17.2215966
Rzęszkowo;Pilski;Wielkopolskie;53.1426542;17.2049347
Sędziniec;Pilski;Wielkopolskie;53.1946667;17.737262
Bądecz;Pilski;Wielkopolskie;53.21228;17.7336
Podróżna;Złotowski;Wielkopolskie;53.24198;17.5688
Czajcze;Złotowski;Wielkopolskie;53.19031;17.1197
Młotkowo;Pilski;Wielkopolskie;53.1912779;17.1501831
Bługowo;Złotowski;Wielkopolskie;53.2554756;17.1196557
Tłukomy;Pilski;Wielkopolskie;53.22292;17.12777
Falmierowo;Pilski;Wielkopolskie;53.1958;17.2215
Kijaszkowo;Pilski;Wielkopolskie;53.21117;17.1688
Kunowo;Pilski;Wielkopolskie;53.25734;17.15386
Gromadno;Pilski;Wielkopolskie;53.2070309;17.2178052
Młotkówko;Pilski;Wielkopolskie;53.1861468;17.1968715
